Question Report,,,,
Report Generated:,3/4/2022 14:13,,,
Topic,Webinar ID,Actual Start Time,Actual Duration (minutes),# Question
Tobacco Online Policy Seminar (TOPS),913 0423 0768,3/4/2022 11:46,60,12
Question Details,,,,
#,Question,Answer,Question Time,Answered Time
1,Are the slides going to be made available to attendees?,"Yes, on this page: https://www.tobaccopolicy.org/seminars.html",3/4/2022 12:08,3/4/2022 12:08
1,Are the slides going to be made available to attendees?,"They’ll be posted within the next few days, by the way.",3/4/2022 12:08,3/4/2022 12:09
2,did sales of NTRs increase in CVS after the removal of tobacco products?,live answered,3/4/2022 12:10,3/4/2022 12:21
3,Thanks !,,3/4/2022 12:10,
4,"Connected to the previous question, any insight on CVS's total sales/profits since removal of tobacco products.",live answered,3/4/2022 12:12,3/4/2022 12:21
5,Thanks a lot for the presenting today. Did you control for state-specific linear trends? as a robustness check?,live answered,3/4/2022 12:19,3/4/2022 12:21
6,Any evaluation of what CVS did with Minute Clinics and Pharmacy to help tobacco users quit?,live answered,3/4/2022 12:19,3/4/2022 12:24
7,"isn't the effect of cvs not selling tobacco contingent on individuals regularly visiting cvs, so wouldn't we expect effects to be concentrated upon perhaps unhealthy people picking up scripts?",live answered,3/4/2022 12:21,3/4/2022 12:23
8,In your methodology do you think you accounted for the proliferation of pharmacy deserts in under-resourced communities to assess the equity impact of CVS's significant commitment?,live answered,3/4/2022 12:21,3/4/2022 12:25
9,Do we have any update on other national pharmacies who have either stopped or plan to stop the sale of cigarette and e-cigarette products?,live answered,3/4/2022 12:22,3/4/2022 12:39
10,"CVS Health Foundation has a Be Vape Free website to provide ongoing campaigns and awareness to youth about not vaping. Are you able to obtain ""data"" for the continuing impacts of CVS' Pharmacy removal of tobacco products, or look into any ongoing  impacts on sales or on use behavior impacting youth, from results or data from this site, if they are available?",live answered,3/4/2022 12:22,3/4/2022 12:24
11,Is there a particular source or study that shows non-daily smokers are on the rise? That's fascinating to hear.,live answered,3/4/2022 12:32,3/4/2022 12:40
11,Is there a particular source or study that shows non-daily smokers are on the rise? That's fascinating to hear.,Additionally interesting: Is that correlated with e-cigarette use?,3/4/2022 12:32,3/4/2022 12:43
12,"Walmart is also in low density areas and still continues to sell tobacco products. Here at Erie County Department of Health we do Synar checks, some these chains selled to minors before.",live answered,3/4/2022 12:43,3/4/2022 12:44
